topic_id,rank,term
0,1,zi
0,2,department
0,3,ij
0,4,digital
0,5,government
0,6,transformation
0,7,mi
0,8,governmental
0,9,dlnp
0,10,dlnzi
1,1,digital
1,2,government
1,3,transformation
1,4,public
1,5,governmental
1,6,research
1,7,china
1,8,countries
1,9,efficiency
1,10,united
2,1,https
2,2,org
2,3,doi
2,4,rev
2,5,public
2,6,econ
2,7,digital
2,8,government
2,9,manag
2,10,inf
3,1,yes
3,2,digital
3,3,transformation
3,4,efficiency
3,5,government
3,6,gov
3,7,pboc
3,8,var
3,9,doe
3,10,dof
